Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,4.44064777294379E-16,-0.000401990618332168,8.22865101984521E-05,0,0,0,0.591785001312432,0.000687815779136722,-8.71674991811453E-21,1.25469355670433E-20,0.000643842412936961,-3.22751861290967E-07,0.00128478539822991,0,0,0,0,0,0,package://drone_urdf/meshes/base_link.STL,0,0,0,1,0,0,0,0,0,0,package://drone_urdf/meshes/base_link.STL,,中心上板v1_压铆螺母v1-1;机臂&电机&7寸桨v1-2/单机臂_16_19_长v2v1-1;机臂&电机&7寸桨v1-1/单机臂_16_19_长v2v1-1;机臂&电机&7寸桨v1-4/单机臂_16_19_长v2v1-1;机臂&电机&7寸桨v1-4/2505.5&7寸桨v1-1/旋转7寸桨v1-1;机臂&电机&7寸桨v1-1/2505.5&7寸桨v1-1/旋转7寸桨v1-1;机臂&电机&7寸桨v1-2/2505.5&7寸桨v1-1/旋转7寸桨v1-1;机臂&电机&7寸桨v1-6/2505.5&7寸桨v1-1/旋转7寸桨v1-1;机臂&电机&7寸桨v1-6/单机臂_16_19_长v2v1-1;M2.5x60mm铝柱v1-14;M2.5x60mm铝柱v1-13;M2.5x60mm铝柱v1-12;电机座_上层碳板-1;M2.5x60mm铝柱v1-10;电机座_上层碳板-3;机械臂-1/电机座_U形钣金-2;机械臂-1/DM4310电机装配-2/关节_定子-1;通用型NX保护板v1-1;机臂&电机&7寸桨v1-1/2505.5&7寸桨v1-1/2505.5电机v1-1;机臂&电机&7寸桨v1-4/2505.5&7寸桨v1-1/2505.5电机v1-1;机臂&电机&7寸桨v1-6/2505.5&7寸桨v1-1/2505.5电机v1-1;机臂&电机&7寸桨v1-2/2505.5&7寸桨v1-1/2505.5电机v1-1,frame_3,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
arm_link_pitch,-0.0276787855574874,0.00911709077232517,-0.00558440238980157,0,0,0,0.30558860051562,0.000231244291658992,-4.93019763166128E-11,-3.31311957583298E-05,0.000281877615548305,8.74123284876137E-11,0.000279381833421019,0,0,0,0,0,0,package://drone_urdf/meshes/arm_link_pitch.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://drone_urdf/meshes/arm_link_pitch.STL,,机械臂-1/起落架_机械臂-2;机械臂-1/21700_6s-2;机械臂-1/电池座_连碳板v2_21700-2;机械臂-1/华馨京单轴舵机-1;机械臂-1/舵机座roll_连接碳板V3-2;机械臂-1/机械臂_碳板_v2_21700-3;机械臂-1/机械臂_碳板_v2_21700_加高-4,frame_4,axis_4,arm_joint_pitch,continuous,0,-0.00999999999999984,-0.106564971157456,0,0,0,base_link,0,-1,0,,,,,,,,,,,,
arm_link_roll,-0.00169789176912286,-3.06699110552699E-15,-2.2065682614425E-15,0,0,0,0.000875819041355565,4.34940605661605E-08,-2.94154456660538E-21,7.19733619713644E-21,2.28167020876951E-08,8.25355105256281E-23,2.28167020877078E-08,0,0,0,0,0,0,package://drone_urdf/meshes/arm_link_roll.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://drone_urdf/meshes/arm_link_roll.STL,,机械臂-1/华馨京 25-50kg舵机系列主舵盘（四孔）-3D-2,frame_5,axis_5,arm_joint_roll,continuous,0.14395,0.00910000000000061,0,0,0,0,arm_link_pitch,-1,0,0,,,,,,,,,,,,
